min_cluster_size,min_samples,n_clusters,noise_pct,purity,nmi,in_target_range
5,2,76,24.0,0.3853,0.5308,False
5,3,61,24.7,0.3677,0.5146,False
5,5,44,23.2,0.3556,0.4901,False
5,7,37,25.9,0.3486,0.484,False
7,2,49,18.3,0.3469,0.4907,False
7,3,46,21.2,0.3447,0.4941,False
7,5,41,23.3,0.3503,0.4888,False
7,7,36,26.3,0.3487,0.4843,False
10,2,40,18.3,0.3407,0.4777,False
10,3,39,20.3,0.3331,0.4794,False
10,5,22,9.6,0.2787,0.3729,True
10,7,21,12.0,0.2862,0.3905,True
15,2,18,5.6,0.2683,0.3556,True
15,3,20,11.9,0.2882,0.3967,True
15,5,16,8.3,0.2704,0.3597,True
15,7,17,10.3,0.2729,0.3723,True
20,2,15,5.4,0.2644,0.3461,True
20,3,15,6.9,0.2657,0.3495,True
20,5,15,8.1,0.2673,0.3545,True
20,7,16,10.2,0.2698,0.3675,True
