n_components,n_neighbors,n_clusters,noise_pct,purity,nmi,in_target_range,distance_to_target
5,10,38,16.0,0.3318,0.4747,False,13
5,15,39,19.3,0.3288,0.4737,False,14
5,20,24,6.0,0.2783,0.3764,True,0
5,30,34,22.7,0.3333,0.4777,False,9
7,10,30,14.7,0.3028,0.4219,False,5
7,15,30,12.0,0.3052,0.4281,False,5
7,20,33,18.0,0.3323,0.4676,False,8
7,30,28,18.6,0.3016,0.4228,False,3
10,10,27,11.2,0.3023,0.4143,False,2
10,15,36,17.1,0.3372,0.4713,False,11
10,20,39,20.3,0.3331,0.4794,False,14
10,30,31,20.3,0.3296,0.4664,False,6
