orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
1279,4.8,Fail,18,9.59,7.2,3.2,2.0,3.0,4.0,1.0,2.39,7.92,3.12,False,medium,False,high_disparity
1283,0.33,Fail,27,9.23,5.06,1.8,1.0,2.0,2.0,0.95,4.17,6.17,5.84,False,medium,False,high_disparity
1278,4.8,Fail,32,8.89,5.06,1.8,1.0,2.0,2.0,0.95,3.83,6.07,1.27,True,medium,False,high_disparity
1285,0.0,Fail,22,8.99,5.96,2.2,1.0,2.0,3.0,1.0,3.03,6.87,6.87,False,medium,False,high_disparity
1280,3.67,Fail,37,8.58,5.06,1.8,1.0,2.0,2.0,1.0,3.52,6.12,2.45,False,low,True,high_disparity|low_similarity
1282,3.33,Fail,8,7.67,6.74,2.8,2.0,3.0,3.0,1.0,0.93,7.02,3.69,False,medium,False,low_similarity
1281,3.33,Fail,10,7.99,5.7,2.0,2.0,2.0,2.0,1.0,2.29,6.39,3.06,False,low,True,high_disparity|low_similarity
1284,0.0,Fail,29,8.53,6.74,2.8,2.0,3.0,3.0,1.0,1.79,7.28,7.28,False,high,False,
1265,5.0,Pass,38,7.56,6.22,2.4,2.0,2.0,3.0,1.0,1.34,6.62,1.62,False,high,False,
1115,5.7,Pass,17,5.79,6.22,2.4,2.0,2.0,3.0,1.0,0.43,6.09,0.39,True,high,False,
1058,6.3,Pass,1,6.79,7.2,3.2,2.0,4.0,3.0,1.0,0.41,7.08,0.78,True,high,False,
1241,5.3,Pass,26,8.28,5.96,2.2,1.0,2.0,3.0,1.0,2.32,6.65,1.35,True,medium,False,high_disparity
1064,6.3,Pass,7,7.19,6.22,2.4,2.0,2.0,3.0,1.0,0.97,6.51,0.21,True,medium,False,low_similarity
1247,5.0,Pass,22,9.13,6.74,2.8,2.0,3.0,3.0,1.0,2.39,7.46,2.46,False,medium,False,high_disparity
1074,6.3,Pass,25,8.41,7.2,3.2,2.0,4.0,3.0,1.0,1.21,7.56,1.26,True,medium,False,small_cluster
1243,5.3,Pass,17,5.74,6.22,2.4,2.0,2.0,3.0,1.0,0.48,6.07,0.77,True,high,False,
1203,5.7,Pass,22,9.0,6.22,2.4,2.0,2.0,3.0,1.0,2.78,7.05,1.35,True,medium,False,high_disparity
1175,5.7,Pass,22,8.94,7.0,3.0,3.0,3.0,3.0,1.0,1.94,7.58,1.88,False,high,False,
1262,5.0,Pass,41,7.82,5.06,1.8,1.0,2.0,2.0,1.0,2.76,5.89,0.89,True,medium,False,high_disparity
1068,6.3,Pass,6,7.8,6.22,2.4,2.0,3.0,2.0,1.0,1.58,6.69,0.39,True,medium,False,low_similarity
1145,5.7,Pass,21,6.75,5.7,2.0,2.0,1.0,3.0,1.0,1.05,6.02,0.32,True,medium,False,small_cluster
1226,5.5,Pass,1,6.63,6.22,2.4,2.0,2.0,3.0,1.0,0.41,6.34,0.84,True,high,False,
1271,5.0,Pass,40,8.04,5.06,1.8,1.0,2.0,2.0,1.0,2.98,5.96,0.96,True,medium,False,high_disparity
1186,5.7,Pass,17,6.26,7.2,3.2,2.0,3.0,4.0,1.0,0.94,6.92,1.22,True,high,False,
1195,5.7,Pass,17,5.89,5.7,2.0,2.0,2.0,2.0,1.0,0.19,5.76,0.06,True,high,False,
1079,6.0,Pass,0,9.42,6.22,2.4,2.0,3.0,2.0,1.0,3.2,7.18,1.18,True,medium,False,high_disparity
1273,5.0,Pass,43,8.94,6.22,2.4,2.0,2.0,3.0,1.0,2.72,7.04,2.04,False,medium,False,high_disparity
1233,5.5,Pass,7,7.46,5.96,2.2,1.0,2.0,3.0,1.0,1.5,6.41,0.91,True,high,False,
1157,5.7,Pass,17,5.91,6.74,2.8,2.0,3.0,3.0,1.0,0.83,6.49,0.79,True,high,False,
1211,5.7,Pass,40,8.03,7.0,3.0,1.0,4.0,3.0,1.0,1.03,7.31,1.61,False,high,False,
1252,5.0,Pass,22,8.74,5.06,1.8,1.0,2.0,2.0,0.575,3.68,5.05,0.05,True,medium,False,high_disparity
1229,5.5,Pass,0,8.1,6.22,2.4,2.0,3.0,2.0,1.0,1.88,6.78,1.28,True,high,False,
1174,5.7,Pass,22,8.4,7.4,3.4,3.0,4.0,3.0,1.0,1.0,7.7,2.0,False,medium,False,low_similarity
