orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
1279,4.8,Fail,18,8.71,7.2,3.2,2.0,3.0,4.0,1.0,1.51,7.65,2.85,False,high,False,
1283,0.33,Fail,27,8.69,5.06,1.8,1.0,2.0,2.0,1.0,3.63,6.15,5.82,False,medium,False,high_disparity
1278,4.8,Fail,32,8.72,5.06,1.8,1.0,2.0,2.0,1.0,3.66,6.16,1.36,False,medium,False,high_disparity
1285,0.0,Fail,22,8.63,5.96,2.2,1.0,2.0,3.0,1.0,2.67,6.76,6.76,False,medium,False,high_disparity
1280,3.67,Fail,37,8.7,5.06,1.8,1.0,2.0,2.0,1.0,3.64,6.15,2.48,False,low,True,high_disparity|low_similarity
1282,3.33,Fail,8,8.57,6.74,2.8,2.0,3.0,3.0,1.0,1.83,7.29,3.96,False,medium,False,low_similarity
1281,3.33,Fail,10,8.5,5.7,2.0,2.0,2.0,2.0,1.0,2.8,6.54,3.21,False,low,True,high_disparity|low_similarity
1284,0.0,Fail,29,8.76,6.74,2.8,2.0,3.0,3.0,1.0,2.02,7.35,7.35,False,medium,False,high_disparity
1265,5.0,Pass,38,8.63,6.22,2.4,2.0,2.0,3.0,1.0,2.41,6.94,1.94,False,medium,False,high_disparity
1115,5.7,Pass,17,8.7,6.22,2.4,2.0,2.0,3.0,1.0,2.48,6.96,1.26,False,medium,False,high_disparity
1058,6.3,Pass,1,8.75,7.2,3.2,2.0,4.0,3.0,1.0,1.55,7.66,1.36,False,high,False,
1241,5.3,Pass,26,8.74,5.96,2.2,1.0,2.0,3.0,1.0,2.78,6.79,1.49,False,medium,False,high_disparity
1064,6.3,Pass,7,8.65,6.22,2.4,2.0,2.0,3.0,1.0,2.43,6.95,0.65,True,low,True,high_disparity|low_similarity
1247,5.0,Pass,22,8.71,6.74,2.8,2.0,3.0,3.0,1.0,1.97,7.33,2.33,False,high,False,
1074,6.3,Pass,25,8.65,7.2,3.2,2.0,4.0,3.0,1.0,1.45,7.64,1.34,False,medium,False,small_cluster
1243,5.3,Pass,17,8.71,6.22,2.4,2.0,2.0,3.0,1.0,2.49,6.97,1.67,False,medium,False,high_disparity
1203,5.7,Pass,22,8.7,6.22,2.4,2.0,2.0,3.0,1.0,2.48,6.96,1.26,False,medium,False,high_disparity
1175,5.7,Pass,22,8.75,7.0,3.0,3.0,3.0,3.0,1.0,1.75,7.52,1.82,False,high,False,
1262,5.0,Pass,41,8.56,5.06,1.8,1.0,2.0,2.0,1.0,3.5,6.11,1.11,False,medium,False,high_disparity
1068,6.3,Pass,6,8.56,6.22,2.4,2.0,3.0,2.0,1.0,2.34,6.92,0.62,True,low,True,high_disparity|low_similarity
1145,5.7,Pass,21,8.62,5.7,2.0,2.0,1.0,3.0,1.0,2.92,6.58,0.88,True,low,True,high_disparity|small_cluster
1226,5.5,Pass,1,8.69,6.22,2.4,2.0,2.0,3.0,1.0,2.47,6.96,1.46,False,medium,False,high_disparity
1271,5.0,Pass,40,8.78,5.06,1.8,1.0,2.0,2.0,0.95,3.72,6.04,1.04,False,medium,False,high_disparity
1186,5.7,Pass,17,8.81,7.2,3.2,2.0,3.0,4.0,1.0,1.61,7.68,1.98,False,high,False,
1195,5.7,Pass,17,8.7,5.7,2.0,2.0,2.0,2.0,0.625,3.0,5.62,0.08,True,medium,False,high_disparity
1079,6.0,Pass,0,8.63,6.22,2.4,2.0,3.0,2.0,1.0,2.41,6.94,0.94,True,medium,False,high_disparity
1273,5.0,Pass,43,8.82,6.22,2.4,2.0,2.0,3.0,1.0,2.6,7.0,2.0,False,medium,False,high_disparity
1233,5.5,Pass,7,8.91,5.96,2.2,1.0,2.0,3.0,1.0,2.95,6.84,1.34,False,medium,False,high_disparity
1157,5.7,Pass,17,8.7,6.74,2.8,2.0,3.0,3.0,1.0,1.96,7.33,1.63,False,high,False,
1211,5.7,Pass,40,8.57,7.0,3.0,1.0,4.0,3.0,1.0,1.57,7.47,1.77,False,high,False,
1252,5.0,Pass,22,8.72,5.06,1.8,1.0,2.0,2.0,0.575,3.66,5.05,0.05,True,medium,False,high_disparity
1229,5.5,Pass,0,8.71,6.22,2.4,2.0,3.0,2.0,1.0,2.49,6.97,1.47,False,medium,False,high_disparity
1174,5.7,Pass,22,8.62,7.4,3.4,3.0,4.0,3.0,1.0,1.22,7.77,2.07,False,medium,False,low_similarity
1067,6.3,Pass,26,8.64,7.2,3.2,2.0,4.0,3.0,1.0,1.44,7.63,1.33,False,high,False,
1196,5.7,Pass,16,8.74,3.78,1.4,1.0,1.0,2.0,1.0,4.96,5.27,0.43,True,medium,False,high_disparity
1150,5.7,Pass,21,8.6,6.22,2.4,2.0,2.0,3.0,1.0,2.38,6.93,1.23,False,low,True,high_disparity|small_cluster
1153,5.7,Pass,39,8.63,6.22,2.4,2.0,3.0,2.0,1.0,2.41,6.94,1.24,False,medium,False,high_disparity
1133,5.7,Pass,30,8.97,6.22,2.4,2.0,3.0,2.0,1.0,2.75,7.04,1.34,False,low,True,high_disparity|small_cluster
1245,5.0,Pass,37,8.77,5.06,1.8,1.0,2.0,2.0,0.95,3.71,6.04,1.04,False,medium,False,high_disparity
1109,6.0,Pass,4,8.57,6.48,2.6,3.0,2.0,3.0,1.0,2.09,7.11,1.11,False,low,True,high_disparity|low_similarity
1167,5.7,Pass,4,8.62,6.22,2.4,2.0,2.0,3.0,1.0,2.4,6.94,1.24,False,medium,False,high_disparity
1094,6.0,Pass,1,8.7,7.2,3.2,2.0,3.0,4.0,1.0,1.5,7.65,1.65,False,high,False,
1065,6.3,Pass,6,8.58,6.22,2.4,2.0,2.0,3.0,1.0,2.36,6.93,0.63,True,medium,False,high_disparity
