orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
1279,4.8,Fail,18,9.59,7.2,3.2,2.0,3.0,4.0,1.0,2.39,8.16,3.36,False,medium,False,high_disparity
1283,0.33,Fail,27,9.23,5.06,1.8,1.0,2.0,2.0,0.95,4.17,6.54,6.21,False,medium,False,high_disparity
1278,4.8,Fail,32,8.89,5.06,1.8,1.0,2.0,2.0,0.95,3.83,6.41,1.61,False,medium,False,high_disparity
1285,0.0,Fail,22,8.99,5.96,2.2,1.0,2.0,3.0,1.0,3.03,7.17,7.17,False,medium,False,high_disparity
1280,3.67,Fail,37,8.58,5.06,1.8,1.0,2.0,2.0,1.0,3.52,6.47,2.8,False,low,True,high_disparity|low_similarity
1282,3.33,Fail,8,7.67,6.74,2.8,2.0,3.0,3.0,1.0,0.93,7.11,3.78,False,medium,False,low_similarity
1281,3.33,Fail,10,7.99,5.7,2.0,2.0,2.0,2.0,1.0,2.29,6.62,3.29,False,low,True,high_disparity|low_similarity
1284,0.0,Fail,29,8.53,6.74,2.8,2.0,3.0,3.0,1.0,1.79,7.46,7.46,False,high,False,
1265,5.0,Pass,38,7.56,6.22,2.4,2.0,2.0,3.0,1.0,1.34,6.76,1.76,False,high,False,
1115,5.7,Pass,17,5.79,6.22,2.4,2.0,2.0,3.0,1.0,0.43,6.05,0.35,True,high,False,
1058,6.3,Pass,1,6.79,7.2,3.2,2.0,4.0,3.0,1.0,0.41,7.03,0.73,True,high,False,
1241,5.3,Pass,26,8.28,5.96,2.2,1.0,2.0,3.0,1.0,2.32,6.89,1.59,False,medium,False,high_disparity
1064,6.3,Pass,7,7.19,6.22,2.4,2.0,2.0,3.0,1.0,0.97,6.61,0.31,True,medium,False,low_similarity
1247,5.0,Pass,22,9.13,6.74,2.8,2.0,3.0,3.0,1.0,2.39,7.69,2.69,False,medium,False,high_disparity
1074,6.3,Pass,25,8.41,7.2,3.2,2.0,4.0,3.0,1.0,1.21,7.68,1.38,False,medium,False,small_cluster
1243,5.3,Pass,17,5.74,6.22,2.4,2.0,2.0,3.0,1.0,0.48,6.03,0.73,True,high,False,
1203,5.7,Pass,22,9.0,6.22,2.4,2.0,2.0,3.0,1.0,2.78,7.33,1.63,False,medium,False,high_disparity
1175,5.7,Pass,22,8.94,7.0,3.0,3.0,3.0,3.0,1.0,1.94,7.78,2.08,False,high,False,
1262,5.0,Pass,41,7.82,5.06,1.8,1.0,2.0,2.0,1.0,2.76,6.17,1.17,False,medium,False,high_disparity
1068,6.3,Pass,6,7.8,6.22,2.4,2.0,3.0,2.0,1.0,1.58,6.85,0.55,True,medium,False,low_similarity
1145,5.7,Pass,21,6.75,5.7,2.0,2.0,1.0,3.0,1.0,1.05,6.12,0.42,True,medium,False,small_cluster
1226,5.5,Pass,1,6.63,6.22,2.4,2.0,2.0,3.0,1.0,0.41,6.39,0.89,True,high,False,
1271,5.0,Pass,40,8.04,5.06,1.8,1.0,2.0,2.0,1.0,2.98,6.25,1.25,False,medium,False,high_disparity
1186,5.7,Pass,17,6.26,7.2,3.2,2.0,3.0,4.0,1.0,0.94,6.83,1.13,False,high,False,
1195,5.7,Pass,17,5.89,5.7,2.0,2.0,2.0,2.0,1.0,0.19,5.78,0.08,True,high,False,
1079,6.0,Pass,0,9.42,6.22,2.4,2.0,3.0,2.0,1.0,3.2,7.5,1.5,False,medium,False,high_disparity
1273,5.0,Pass,43,8.94,6.22,2.4,2.0,2.0,3.0,1.0,2.72,7.31,2.31,False,medium,False,high_disparity
1233,5.5,Pass,7,7.46,5.96,2.2,1.0,2.0,3.0,1.0,1.5,6.56,1.06,False,high,False,
1157,5.7,Pass,17,5.91,6.74,2.8,2.0,3.0,3.0,1.0,0.83,6.41,0.71,True,high,False,
1211,5.7,Pass,40,8.03,7.0,3.0,1.0,4.0,3.0,1.0,1.03,7.41,1.71,False,high,False,
1252,5.0,Pass,22,8.74,5.06,1.8,1.0,2.0,2.0,0.575,3.68,5.05,0.05,True,medium,False,high_disparity
1229,5.5,Pass,0,8.1,6.22,2.4,2.0,3.0,2.0,1.0,1.88,6.97,1.47,False,high,False,
1174,5.7,Pass,22,8.4,7.4,3.4,3.0,4.0,3.0,1.0,1.0,7.8,2.1,False,medium,False,low_similarity
1067,6.3,Pass,26,8.1,7.2,3.2,2.0,4.0,3.0,1.0,0.9,7.56,1.26,False,high,False,
1196,5.7,Pass,16,6.55,3.78,1.4,1.0,1.0,2.0,1.0,2.77,4.89,0.81,True,medium,False,high_disparity
1150,5.7,Pass,21,6.73,6.22,2.4,2.0,2.0,3.0,1.0,0.51,6.42,0.72,True,medium,False,small_cluster
1153,5.7,Pass,39,9.15,6.22,2.4,2.0,3.0,2.0,1.0,2.93,7.39,1.69,False,medium,False,high_disparity
1133,5.7,Pass,30,9.6,6.22,2.4,2.0,3.0,2.0,1.0,3.38,7.57,1.87,False,low,True,high_disparity|small_cluster
1245,5.0,Pass,37,9.0,5.06,1.8,1.0,2.0,2.0,0.95,3.94,6.45,1.45,False,medium,False,high_disparity
1109,6.0,Pass,4,7.56,6.48,2.6,3.0,2.0,3.0,1.0,1.08,6.91,0.91,True,medium,False,low_similarity
1167,5.7,Pass,4,7.83,6.22,2.4,2.0,2.0,3.0,1.0,1.61,6.86,1.16,False,high,False,
1094,6.0,Pass,1,6.31,7.2,3.2,2.0,3.0,4.0,1.0,0.89,6.85,0.85,True,high,False,
