expected_grade,predicted_grade,flag_for_review,confidence,cluster,cluster_sim,s1_grade,s2_bloom
8.0,5.26,False,medium,44,0.8564201593399048,9.32739055491984,2.4
6.5,6.73,False,medium,10,0.6546446084976196,7.8509931088238964,2.8
6.3,5.98,False,medium,16,0.7058746814727783,6.2577864654362205,2.2
8.0,5.8,True,low,3,0.5361862778663635,7.06362946331501,2.0
5.5,6.22,False,medium,16,0.5473443865776062,6.31507392898202,2.4
8.5,6.02,False,medium,14,0.7774177193641663,9.580423444509506,2.8
7.3,6.02,False,high,38,0.8070992231369019,7.080129716545343,2.2
7.67,6.09,False,high,43,0.8183152675628662,8.768198398351668,2.2
8.0,5.26,False,medium,44,0.799099326133728,9.436929310411214,2.4
5.5,5.28,False,medium,38,0.6152555346488953,7.04308408126235,1.8
8.0,6.18,False,high,16,0.7728517055511475,6.1823927983641624,2.4
7.37,5.87,False,high,43,0.8148207664489746,8.489299091473221,2.0
7.0,6.3,True,low,34,0.8319765329360962,8.908527774736285,2.4
5.7,5.93,True,low,12,0.6268784999847412,9.99999962747097,2.0
7.33,4.89,False,medium,33,0.814096987247467,9.102173090502621,2.2
10.0,6.29,False,medium,27,0.7261935472488403,8.550586387589574,2.4
7.0,6.74,True,low,23,0.5375632047653198,7.375253733992577,2.8
10.0,6.3,False,medium,30,0.849174439907074,9.070475047826767,2.4
10.0,6.73,True,low,24,0.6206337213516235,8.593394537121057,2.8
0.0,6.3,False,high,33,0.8049957156181335,8.946731878221035,2.4
