idx,grade,result_bloom,pfr_bloom,learning_bloom,bloom_weighted,signal2_normalised,topic
0,0.0,2,2,3,2.4,6.22,Time and resource management
1,4.67,1,2,2,1.8,5.06,Reflecting on taking initiative and the willingness to make decisions in the face of uncertainty.
2,5.0,2,3,2,2.4,6.22,The design process phasing and approaches
3,5.7,2,2,3,2.4,6.22,"Negotiation, compromise, and conflict resolution"
4,5.5,2,2,3,2.4,6.22,The innovation processes
5,5.0,2,2,2,2.0,5.7,"Teamwork that creates attitudes, thought and learning"
6,5.5,1,2,2,1.8,5.06,Roles and responsibility of engineers
7,5.0,1,2,2,1.8,5.06,"Negotiation, compromise, and conflict resolution"
8,6.3,2,2,3,2.4,6.22,"Attitudes, thought and learning"
9,5.7,2,2,3,2.4,6.22,Creative thinking
10,6.0,2,3,2,2.4,6.22,Solving Pain Points
11,6.3,1,3,3,2.6,6.48,Empathy as a leader
12,7.37,2,2,2,2.0,5.7,"Throughout this topic we have learned multiple useful skills that employers will look for. Certainly a major one would be communication and being able to express ones ideas. Another skill would be again from the teamwork aspect, as we had to coordinate group meetings, so we had to learn how to reorganise aspects of our daily life as we were all fairly busy individuals. We also spent a large amount of time brainstorming ideas, and from that we would sort through those and eliminate ones which wouldnt work, and sought to adapt the ones that would to fit the roles we wanted more appropriately."
13,6.5,2,3,3,2.8,6.74,Society's regulation of engineering
14,6.67,2,3,3,2.8,6.74,I will be reflecting on my own and my group's attitude towards assigned roles and the tasks at hand.
15,7.33,1,2,3,2.2,5.96,Time and Resource Management
16,7.0,2,3,3,2.8,6.74,Prioritization and focus
17,7.0,2,2,3,2.4,6.22,The transferable skill/employability skill topic that will be reflected on is communication. 
18,7.0,2,2,3,2.4,6.22,Creative thinking
19,7.3,2,2,2,2.0,5.7,Communications
20,6.5,2,3,3,2.8,6.74,Initiative and the willingness to make decisions in the face of uncertainty
21,6.67,2,2,3,2.4,6.22,-
22,7.5,2,2,3,2.4,6.22,Lifelong learning and educating
23,8.0,2,2,3,2.4,6.22,Initiative and the willingness to make decisions in the face of uncertainty
24,7.83,3,1,2,1.8,5.06,"communication, brainstorming, and effectively working"
25,8.0,2,2,3,2.4,6.22,Communications structure
26,8.0,2,2,2,2.0,5.7,Thinking holistically
27,8.0,2,2,3,2.4,6.22,Written communication
28,7.5,2,4,3,3.2,7.2,Communications
29,7.67,1,1,2,1.4,3.78,"Attitudes, thought and learning"
30,8.0,2,2,3,2.4,6.22,Solving Pain Points
31,8.47,2,3,4,3.2,7.2,"The skill that I will mainly be reflecting over is, having accountability in a team operation."
32,10.0,1,2,3,2.2,5.96,Interpersonal skills: teamwork and communication
33,10.0,2,2,3,2.4,6.22,Critical thinking
34,9.77,1,2,2,1.8,5.06,I will be reflecting over the time and resource management skills that I have learned throughout this unit.
35,10.0,1,2,3,2.2,5.96,Interpersonal skills: teamwork and communication
36,10.0,2,3,2,2.4,6.22,Interpersonal skills: teamwork and communication
37,10.0,1,3,3,2.6,6.48,TRANSFERABLE SKILL: How to manage deadlines in a group setting.
38,10.0,2,2,3,2.4,6.22,Interpersonal skills: teamwork and communication
39,8.5,2,3,3,2.8,6.74,Critical thinking
40,10.0,1,2,3,2.2,5.96,Experimental inquiry
41,9.67,2,3,2,2.4,6.22,Leading engineering endevours / Thinking creatively and communicating possibilities.
