n_clusters,noise_pct,purity,nmi,in_target_range,min_cluster_size,min_samples
78,21.4,0.3572,0.5103,False,5,2
53,22.6,0.3271,0.4703,False,5,3
44,19.6,0.3125,0.4311,False,7,2
35,18.6,0.2926,0.4126,False,7,3
33,26.0,0.3161,0.4478,False,7,5
26,18.3,0.2943,0.4103,False,10,2
25,18.7,0.2833,0.3966,True,10,3
27,27.5,0.3111,0.4323,False,10,5
18,8.8,0.2671,0.3135,True,10,7
19,15.4,0.2772,0.3695,True,15,2
19,20.6,0.2821,0.3819,True,15,3
19,24.2,0.2859,0.3849,True,15,5
15,10.4,0.2625,0.3035,True,15,7
16,23.8,0.2747,0.3647,True,20,2
13,14.8,0.2458,0.333,True,20,3
8,4.7,0.2084,0.214,False,20,5
11,11.4,0.2459,0.2731,True,20,7
13,17.0,0.2581,0.3354,True,25,2
12,14.4,0.239,0.323,True,25,3
11,18.6,0.2507,0.3334,True,25,5
10,11.3,0.2402,0.2689,True,25,7
12,14.4,0.2439,0.326,True,30,2
12,14.4,0.239,0.323,True,30,3
7,3.4,0.2088,0.2125,False,30,5
8,7.2,0.2232,0.2455,False,30,7
