n_clusters,noise_pct,purity,nmi,in_target_range,n_components,n_neighbors
43,18.1,0.3075,0.4505,False,5,10
38,20.4,0.2947,0.4318,False,5,15
33,18.1,0.2844,0.4188,False,5,20
30,19.5,0.2855,0.4007,False,5,30
22,18.1,0.2829,0.3862,True,5,50
27,21.4,0.2907,0.4199,False,5,75
43,17.8,0.3028,0.4464,False,7,10
35,18.1,0.2902,0.431,False,7,15
35,21.2,0.3022,0.4349,False,7,20
31,19.9,0.2935,0.4219,False,7,30
25,18.7,0.2833,0.3966,True,7,50
29,22.4,0.2994,0.4239,False,7,75
36,16.5,0.2817,0.4155,False,10,10
33,16.2,0.2869,0.4226,False,10,15
30,22.0,0.3016,0.4291,False,10,20
33,20.0,0.2999,0.4313,False,10,30
23,16.5,0.2772,0.39,True,10,50
22,15.0,0.2739,0.3867,True,10,75
