seed,mcs,min_samples,n_clusters,noise_pct,purity,nmi
42,10,1,41,16.5,0.3283,0.4758
42,10,3,27,12.0,0.2932,0.4041
42,10,5,31,19.2,0.3185,0.4543
42,15,1,27,14.5,0.2948,0.43
42,15,3,21,11.1,0.2869,0.3901
42,15,5,24,16.2,0.2998,0.4121
42,20,1,24,15.3,0.2954,0.4268
42,20,3,17,10.6,0.2831,0.3693
42,20,5,16,12.1,0.2791,0.3674
42,25,1,16,10.0,0.2759,0.3674
42,25,3,16,10.6,0.2784,0.3663
42,25,5,13,9.5,0.2644,0.3438
0,10,1,44,16.0,0.3248,0.4829
0,10,3,33,16.9,0.3105,0.456
0,10,5,28,16.9,0.2973,0.4275
0,15,1,25,11.4,0.2919,0.4109
0,15,3,26,19.3,0.3069,0.4445
0,15,5,17,10.2,0.2791,0.366
0,20,1,23,16.0,0.2949,0.4223
0,20,3,21,19.6,0.3006,0.4161
0,20,5,16,10.1,0.2788,0.3602
0,25,1,21,17.2,0.2912,0.4178
0,25,3,17,13.8,0.284,0.3902
0,25,5,15,10.1,0.2735,0.3566
7,10,1,43,14.8,0.3343,0.4733
7,10,3,39,19.6,0.3358,0.4751
7,10,5,29,15.7,0.2981,0.4219
7,15,1,26,10.2,0.3005,0.4032
7,15,3,10,1.8,0.2163,0.2188
7,15,5,10,1.3,0.2183,0.2202
7,20,1,9,0.4,0.2169,0.2192
7,20,3,9,0.5,0.2171,0.219
7,20,5,9,0.8,0.2177,0.2185
7,25,1,8,0.4,0.2127,0.2154
7,25,3,8,0.5,0.2129,0.2152
7,25,5,8,0.7,0.2133,0.2154
123,10,1,38,13.2,0.3207,0.4503
123,10,3,34,17.2,0.3073,0.4607
123,10,5,32,21.1,0.3225,0.4685
123,15,1,27,11.5,0.3009,0.4275
123,15,3,26,18.6,0.2985,0.447
123,15,5,25,22.6,0.3194,0.4595
123,20,1,23,11.5,0.2903,0.4168
123,20,3,23,20.0,0.3016,0.4415
123,20,5,19,18.4,0.3035,0.4127
123,25,1,21,12.7,0.281,0.406
123,25,3,16,13.9,0.2808,0.3834
123,25,5,7,0.4,0.2036,0.1876
999,10,1,42,14.2,0.3203,0.4793
999,10,3,36,18.8,0.3235,0.4651
999,10,5,29,19.1,0.3062,0.4388
999,15,1,35,13.8,0.3097,0.4633
999,15,3,27,13.9,0.3065,0.4285
999,15,5,23,18.9,0.3031,0.4287
999,20,1,23,13.1,0.2906,0.4118
999,20,3,19,13.7,0.292,0.3975
999,20,5,21,19.5,0.3011,0.4248
999,25,1,18,10.8,0.2832,0.3899
999,25,3,17,15.1,0.2877,0.391
999,25,5,13,10.2,0.256,0.3408
