min_cluster_size,min_samples,n_clusters,noise_pct,purity,nmi,in_target_range
5,2,57,12.8,0.2972,0.4406,False
5,3,52,15.3,0.2989,0.4348,False
7,2,40,14.6,0.2929,0.4197,False
7,3,43,21.3,0.3133,0.4557,False
7,5,36,18.7,0.2997,0.4288,False
10,2,24,15.8,0.2736,0.3861,True
10,3,30,22.0,0.3016,0.4291,False
10,5,26,20.8,0.2863,0.4108,False
10,7,25,24.3,0.2877,0.4103,True
15,2,20,17.3,0.2721,0.3774,True
15,3,24,23.7,0.2933,0.4148,True
15,5,8,0.8,0.2124,0.2225,False
15,7,22,25.1,0.2867,0.4048,True
20,2,17,19.3,0.2634,0.3558,True
20,3,7,2.0,0.2063,0.2117,False
20,5,7,2.0,0.2063,0.2117,False
20,7,7,2.0,0.2065,0.2119,False
