seed,n_clusters,noise_pct,purity,nmi
42,24,23.7,0.2933,0.4148
42,20,21.3,0.2753,0.3964
42,21,26.6,0.2967,0.4088
42,17,19.0,0.2688,0.3646
42,18,22.0,0.2786,0.3734
42,17,20.3,0.2755,0.3698
42,17,22.4,0.2776,0.3802
0,19,15.4,0.2723,0.3758
0,20,17.4,0.2723,0.3827
0,19,20.0,0.2708,0.3807
0,18,20.3,0.269,0.3734
0,18,21.2,0.2733,0.374
0,17,24.1,0.2768,0.3818
0,4,0.0,0.1161,0.0511
7,9,0.9,0.2107,0.2239
7,10,2.5,0.2123,0.2267
7,21,20.8,0.291,0.386
7,18,19.4,0.2764,0.3743
7,19,18.8,0.2749,0.3792
7,16,16.7,0.268,0.3629
7,15,18.8,0.2712,0.3612
123,20,14.2,0.2722,0.3664
123,17,14.9,0.2623,0.36
123,19,16.5,0.2688,0.3712
123,17,19.0,0.2727,0.3709
123,19,19.7,0.2789,0.3889
123,17,20.5,0.2726,0.374
123,17,25.3,0.2812,0.3885
999,19,20.8,0.2704,0.3724
999,20,21.4,0.2808,0.3885
999,20,23.5,0.2801,0.3792
999,23,24.2,0.2841,0.4031
999,20,22.7,0.2786,0.3832
999,20,25.9,0.2785,0.3841
999,18,24.7,0.2645,0.3732
42,18,15.3,0.3058,0.4073
42,17,17.6,0.2927,0.4027
42,17,18.4,0.2942,0.4053
42,25,32.1,0.3245,0.4685
42,25,35.2,0.3373,0.4786
42,23,29.8,0.3061,0.4354
42,18,29.1,0.2973,0.4235
0,25,21.2,0.3159,0.4604
0,21,19.8,0.3007,0.4285
0,21,20.9,0.2965,0.428
0,23,20.8,0.3001,0.4309
0,20,19.9,0.3047,0.4203
0,23,26.2,0.3088,0.4301
0,17,22.1,0.2934,0.3996
7,18,12.0,0.2896,0.3928
7,17,13.6,0.2825,0.3933
7,17,13.6,0.2832,0.3884
7,15,18.3,0.2796,0.3884
7,15,19.9,0.2833,0.389
7,22,30.5,0.3213,0.4649
7,19,29.4,0.3059,0.4285
123,23,19.1,0.3062,0.4312
123,23,21.4,0.3153,0.4387
123,16,17.5,0.2837,0.3882
123,18,19.9,0.2945,0.4036
123,19,21.7,0.2956,0.4073
123,21,26.9,0.3112,0.4275
123,15,20.0,0.2769,0.3788
999,15,10.5,0.2868,0.3759
999,15,13.9,0.2872,0.3837
999,18,21.4,0.2991,0.4149
999,3,0.3,0.1501,0.0985
999,16,19.7,0.2854,0.3943
999,3,1.0,0.1511,0.0995
999,14,19.9,0.2823,0.3853
42,21,17.6,0.2651,0.3675
42,20,17.4,0.2607,0.3719
42,7,0.1,0.13,0.0889
42,7,0.1,0.13,0.0894
42,7,0.3,0.1303,0.0892
42,7,0.3,0.1297,0.089
42,19,21.0,0.2697,0.3745
0,20,11.3,0.2652,0.36
0,20,14.5,0.2638,0.3591
0,7,0.1,0.1306,0.0892
0,6,0.2,0.1296,0.0766
0,6,0.4,0.1297,0.0771
0,7,0.5,0.1311,0.0898
0,6,0.5,0.13,0.0768
7,8,0.1,0.1671,0.1582
7,7,0.2,0.1308,0.0891
7,7,0.5,0.1299,0.0891
7,5,0.6,0.13,0.0739
7,6,1.0,0.1293,0.0755
7,5,0.8,0.131,0.0854
7,5,1.0,0.1311,0.0856
123,21,12.4,0.2495,0.3669
123,22,11.6,0.2607,0.3821
123,22,15.7,0.2678,0.387
123,22,19.5,0.2758,0.3956
123,22,22.1,0.279,0.3931
123,24,27.8,0.3002,0.4233
123,6,0.6,0.13,0.0765
999,20,13.8,0.2618,0.3729
999,21,14.0,0.2658,0.3692
999,7,1.4,0.1281,0.0849
999,17,15.1,0.2518,0.3512
999,7,0.5,0.1306,0.0881
999,7,0.7,0.1301,0.0892
999,7,0.7,0.1302,0.089
42,21,11.1,0.2869,0.3901
42,21,14.1,0.292,0.3987
42,25,19.2,0.3161,0.4398
42,24,20.6,0.2949,0.4233
42,25,25.9,0.3188,0.4493
42,23,22.0,0.3131,0.4341
42,22,25.0,0.3062,0.4352
0,26,19.3,0.3069,0.4445
0,21,13.4,0.2951,0.4058
0,27,23.4,0.3109,0.4522
0,28,26.4,0.3293,0.4709
0,27,27.2,0.3133,0.4608
0,6,1.3,0.1668,0.1419
0,6,2.9,0.1695,0.1449
7,10,1.8,0.2163,0.2188
7,25,19.2,0.3094,0.4387
7,24,20.6,0.3044,0.4312
7,24,26.0,0.3228,0.4511
7,24,29.1,0.3277,0.4612
7,20,23.9,0.3037,0.4195
7,20,24.5,0.3043,0.421
123,26,18.6,0.2985,0.447
123,25,20.2,0.3151,0.4526
123,20,19.9,0.3114,0.4172
123,22,23.3,0.3185,0.4303
123,24,29.0,0.3356,0.4671
123,24,29.0,0.3336,0.462
123,24,34.4,0.3431,0.4788
999,27,13.9,0.3065,0.4285
999,24,18.6,0.2897,0.4202
999,25,22.9,0.3049,0.4374
999,24,23.6,0.3054,0.4385
999,19,18.8,0.2948,0.4065
999,22,29.3,0.3156,0.4456
999,21,26.9,0.3216,0.4442
