topic,n_reflections,dominant_cluster,n_clusters_present,dominant_pct
"(1) TIME AND RESOURCE MANAGEMENT: the planning of the building and recording of each member’s individual components

(2) UNDERSTANDING NEEDS AND SETTING GOALS: work distribution and how to overcome absent members.",1.0,18.0,1.0,100.0
-,2.0,6.0,2.0,50.0
"A skill that I have developed throughout this course has been the skill and technique of looking at solutions and determining if it is a realistic solution. I believe this skill is important for engineers to help save on time and resources.

Throughout the development of the RGM project there have been many solutions developed, each with different and unique concepts. While many of these solutions were interesting, I was quick to point out that many of them were not possible due to a variety of factors such as time, complexity, and cost. After some team discussion it was decided that we would use more simple solutions to ensure that the project was completed on time.

Critical thinking is vitally important to engineers throughout all stages of the project. Looking at solutions objectively and with an open mind helps ensure that solutions can be created within the give time frame and budget. While it is important to understand when a solution is achievable, it is just as important to know when a solution is not.",1.0,-1.0,1.0,100.0
"A specific transferable skill that I will be reflection upon is the ability to lead in engineering endeavours. This is applicable not only within the parameters of a learning environment but also relevant in relation to workplace competency. This topic involves a variety of smaller subset skills which may include:

• Defining the solution as well as clarifying problem statement

• Identifying issues ahead of time, problems, or constraints

• Adapting to new concepts so that they may be evolved into solutions

• Creative approach to communicating possible ideas and solutions",1.0,15.0,1.0,100.0
"A transferable skill/employability that im reflecting over is the skill of team work and organisation of members on multiple different schedules,

For the creation of the RGM, i worked in a group of 5 including myself with members who i've had no interaction with in any point in my life. As a group we all colloborated sorting out time frames and meeting convient for each member to allow us to properly communicate our ideas.

We brainstormed out ideas on a file everyone can access at any given time, this allowed us to all work on the project an outline our ideas for our project which everyone can see during the week before we all came together for meetings.

This allowed me to understand the troubles faced in professional jobs such as my current when people are working different schedules constantly and even though we may never be working on the same topic at any given time we still allocate and communicate what is needed from each other to deliver a final end result which allows the project to get done",1.0,15.0,1.0,100.0
"ATTITUDE, THOUGHT AND LEARNING",1.0,3.0,1.0,100.0
Accountability in a Team Operation.,1.0,-1.0,1.0,100.0
Accountability in a team operation,21.0,21.0,7.0,33.3
"Accountability in a team operation

You need to be able to count on every team member to ensure that all work completed is correct and done on time",1.0,-1.0,1.0,100.0
Accountability in team operation,1.0,15.0,1.0,100.0
Advocacy,2.0,-1.0,2.0,50.0
