n_components,n_neighbors,n_clusters,noise_pct,purity,nmi,in_target_range,distance_to_target
5,10,43,18.1,0.3075,0.4505,False,18
5,15,38,20.4,0.2947,0.4318,False,13
5,20,33,18.1,0.2844,0.4188,False,8
5,30,30,19.5,0.2855,0.4007,False,5
7,10,43,17.8,0.3028,0.4464,False,18
7,15,35,18.1,0.2902,0.431,False,10
7,20,35,21.2,0.3022,0.4349,False,10
7,30,31,19.9,0.2935,0.4219,False,6
10,10,36,16.5,0.2817,0.4155,False,11
10,15,33,16.2,0.2869,0.4226,False,8
10,20,30,22.0,0.3016,0.4291,False,5
10,30,33,20.0,0.2999,0.4313,False,8
