final_cluster_id,final_cluster_theme,N,high,mid,low,mean_bloom,mean_score
-1,unclustered,113,49,63,1,2.214,7.568
0,Coding problem-solving,172,169,2,1,2.145,9.847
1,Technical fabrication,105,101,4,0,2.002,9.833
2,Technical drawing,73,73,0,0,1.963,9.975
3,RGM design and ideation,501,356,138,7,2.118,8.56
4,Team communication,163,108,55,0,2.246,8.582
5,Project planning and time management,356,267,88,1,2.133,8.906
6,Group presentation,170,122,48,0,1.919,8.661
7,Critical thinking,59,27,30,2,2.014,7.504
8,Collaborative design non-RGM,48,30,18,0,2.294,8.26
9,Conceptual solution development,119,17,102,0,2.22,6.424
